Feature,Increase count,Decrease count,Increase (0->1),Decrease (0->1),Increase (1->0),Decrease (1->0)
romantic,3,1,0,1,3,0
sacrifice,6,0,2,0,4,0
scary,5,0,3,0,2,0
scene,3,1,2,1,1,0
score,8,0,0,0,8,0
scorsese,4,1,3,0,1,1
screenplay,3,1,0,0,3,1
script,12,0,0,0,12,0
sequel,5,0,2,0,3,0
sequence,6,0,1,0,5,0
series,5,0,1,0,4,0
sharp,5,0,1,0,4,0
shot,4,1,0,1,4,0
simplistic,5,0,0,0,5,0
slow,3,0,1,0,2,0
society,8,0,0,0,8,0
sound,4,0,1,0,3,0
soundtrack,10,0,4,0,6,0
spectacular,3,0,1,0,2,0
spielberg,9,0,1,0,8,0
stale,4,0,1,0,3,0
straightforward,3,0,1,0,2,0
streep,7,0,3,0,4,0
strong,7,0,1,0,6,0
studio,3,0,1,0,2,0
stunning,4,0,0,0,4,0
subtitle,7,0,2,0,5,0
success,3,0,2,0,1,0
superhero,7,0,2,0,5,0
surreal,7,0,2,0,5,0
survival,4,0,2,0,2,0
suspenseful,10,0,4,0,6,0
swinton,2,0,0,0,2,0
symbolic,7,0,2,0,5,0
symbolism,4,0,1,0,3,0
tarantino,6,0,1,0,5,0
technology,7,0,4,0,3,0
tedious,6,0,0,0,6,0
terrifying,6,0,4,0,2,0
theme,4,0,3,0,1,0
thriller,7,0,1,0,6,0
thrilling,9,0,5,0,4,0
timeless,6,0,3,0,3,0
tone,6,0,3,0,3,0
touching,3,0,0,0,3,0
tradition,6,0,2,0,4,0
trailer,12,0,1,0,11,0
trilogy,3,0,1,0,2,0
ugly,5,0,2,0,3,0
underrated,8,0,4,0,4,0
unpredictable,6,0,2,0,4,0
uplifting,4,0,1,0,3,0
utopia,5,0,3,0,2,0
villain,6,1,4,0,2,1
visionary,8,0,2,0,6,0
visual,10,0,3,0,7,0
vivid,4,0,1,0,3,0
war,9,0,7,0,2,0
watson,6,0,3,0,3,0
watts,1,0,0,0,1,0
weak,6,1,1,1,5,0
western,10,0,2,0,8,0
williams,11,0,2,0,9,0
winslet,4,0,3,0,1,0
witty,9,0,4,0,5,0
zemeckis,4,0,2,0,2,0
